,,CLASS 1 (clean images),,,,"k = 5, s = 1.0",,,,"k = 5, s = 2.0",,,,"k = 5, s = 4.0",,,,"k = 5, s = 9.0",,,,"k = 7, s = 2.0",,,,"k = 7, s = 4.0",,,,"k = 7, s = 13.5",,,,"k = 7, s = 15.0",,,,"k = 11, s = 2.0",,,,"k = 11, s = 5.0",,,
layer,head,patch_common_features_cls1,patch_count_cls1,cls_common_features_cls1,cls_count_cls1,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count
0,0,"[2, 12, 15, 25, 27, 37, 45, 46]",8,"[2, 12, 25, 37, 45, 46]",6,"[12, 15, 25, 27, 45, 46]",6,"[12, 25, 37, 45, 46]",5,"[12, 15, 25, 27, 45, 46]",6,"[12, 25, 37, 45, 46]",5,"[12, 15, 25, 27, 45, 46]",6,"[12, 25, 37, 45, 46]",5,"[12, 15, 25, 27, 45, 46]",6,"[12, 25, 45, 46]",4,"[12, 15, 25, 27, 45, 46]",6,"[12, 25, 37, 45, 46]",5,"[12, 15, 25, 27, 45, 46]",6,"[25, 37, 45, 46]",4,"[12, 15, 25, 27, 45, 46]",6,"[25, 37, 45, 46]",4,"[12, 15, 25, 27, 45, 46]",6,"[25, 37, 45, 46]",4,"[15, 25, 27, 45, 46]",5,"[25, 37, 45, 46]",4,"[15, 25, 27, 45, 46]",5,"[25, 37, 45, 46]",4
0,1,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9
0,2,"[12, 18, 19, 55]",4,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2
0,3,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9
0,4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4
0,5,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46, 62]",8,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46, 62]",8,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47]",8,"[0, 2, 13, 16, 29, 40, 46]",7
0,6,"[11, 18, 34, 43, 59, 60, 61]",7,"[11, 18, 43, 58, 59, 60, 61]",7,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 59, 60]",5
0,7,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10
0,8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 53, 57]",9,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 53, 57]",9,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8
