class_id,img_idx,ksize,sigma,cos_sim
235,0,5,1.0,0.9491590857505798
235,0,5,2.0,0.9283461570739746
235,0,5,4.0,0.9288880825042725
235,0,5,9.0,0.9295214414596558
235,0,7,2.0,0.9042232036590576
235,0,7,4.0,0.9107727408409119
235,0,7,13.5,0.9132448434829712
235,0,7,15.0,0.9132680296897888
235,0,11,2.0,0.8999266028404236
235,0,11,5.0,0.8710440397262573
235,1,5,1.0,0.9152345657348633
235,1,5,2.0,0.8912061452865601
235,1,5,4.0,0.8838797807693481
235,1,5,9.0,0.8805828094482422
235,1,7,2.0,0.8821633458137512
235,1,7,4.0,0.870206356048584
235,1,7,13.5,0.8639207482337952
235,1,7,15.0,0.8637112379074097
235,1,11,2.0,0.8745502829551697
235,1,11,5.0,0.6938149929046631
235,2,5,1.0,0.8200476765632629
235,2,5,2.0,0.7331916093826294
235,2,5,4.0,0.7366188168525696
235,2,5,9.0,0.7408673763275146
235,2,7,2.0,0.6807819604873657
235,2,7,4.0,0.6725196838378906
235,2,7,13.5,0.675789475440979
235,2,7,15.0,0.675859808921814
235,2,11,2.0,0.6590596437454224
235,2,11,5.0,0.5794804096221924
235,3,5,1.0,0.9180626273155212
235,3,5,2.0,0.9048891663551331
235,3,5,4.0,0.9053990840911865
235,3,5,9.0,0.9048187732696533
235,3,7,2.0,0.8798098564147949
235,3,7,4.0,0.8772714734077454
235,3,7,13.5,0.8833150863647461
235,3,7,15.0,0.8833861351013184
235,3,11,2.0,0.8713387250900269
235,3,11,5.0,0.8231719732284546
235,4,5,1.0,0.9333890676498413
235,4,5,2.0,0.859200119972229
235,4,5,4.0,0.8548254370689392
235,4,5,9.0,0.8548921346664429
235,4,7,2.0,0.8295109868049622
235,4,7,4.0,0.820231556892395
235,4,7,13.5,0.8196776509284973
235,4,7,15.0,0.819637656211853
235,4,11,2.0,0.8139245510101318
235,4,11,5.0,0.7505021095275879
235,5,5,1.0,0.9376070499420166
235,5,5,2.0,0.8861774206161499
235,5,5,4.0,0.8703385591506958
235,5,5,9.0,0.86319500207901
235,5,7,2.0,0.8460170030593872
235,5,7,4.0,0.8441629409790039
235,5,7,13.5,0.837780237197876
235,5,7,15.0,0.8372968435287476
235,5,11,2.0,0.8339101076126099
235,5,11,5.0,0.7956687808036804
235,6,5,1.0,0.9537879228591919
235,6,5,2.0,0.9371746182441711
235,6,5,4.0,0.9348500967025757
235,6,5,9.0,0.9337677955627441
235,6,7,2.0,0.908087968826294
235,6,7,4.0,0.9024882316589355
235,6,7,13.5,0.9035944938659668
235,6,7,15.0,0.9036041498184204
235,6,11,2.0,0.8957135677337646
235,6,11,5.0,0.863951563835144
235,7,5,1.0,0.9614923000335693
235,7,5,2.0,0.9449383020401001
235,7,5,4.0,0.9476363658905029
235,7,5,9.0,0.9470816254615784
235,7,7,2.0,0.9180482625961304
235,7,7,4.0,0.9146164655685425
235,7,7,13.5,0.9170625805854797
235,7,7,15.0,0.9171153903007507
235,7,11,2.0,0.9066881537437439
235,7,11,5.0,0.8769228458404541
235,8,5,1.0,0.9523839354515076
235,8,5,2.0,0.9533404111862183
235,8,5,4.0,0.9557923078536987
235,8,5,9.0,0.9543544054031372
235,8,7,2.0,0.9418911933898926
235,8,7,4.0,0.9286485910415649
235,8,7,13.5,0.918728232383728
235,8,7,15.0,0.9184927940368652
235,8,11,2.0,0.932544469833374
235,8,11,5.0,0.8638371825218201
235,9,5,1.0,0.960800051689148
235,9,5,2.0,0.9076526761054993
235,9,5,4.0,0.8927791714668274
235,9,5,9.0,0.8955959677696228
235,9,7,2.0,0.9324244260787964
235,9,7,4.0,0.8978147506713867
235,9,7,13.5,0.883847177028656
235,9,7,15.0,0.8837308883666992
235,9,11,2.0,0.9194067716598511
235,9,11,5.0,0.8329223990440369
235,10,5,1.0,0.9531084299087524
235,10,5,2.0,0.9381777048110962
235,10,5,4.0,0.9349355101585388
235,10,5,9.0,0.9336106181144714
235,10,7,2.0,0.9134233593940735
235,10,7,4.0,0.8893369436264038
235,10,7,13.5,0.8769915699958801
235,10,7,15.0,0.8768645524978638
235,10,11,2.0,0.8929699659347534
235,10,11,5.0,0.7645184993743896
235,11,5,1.0,0.9025713205337524
235,11,5,2.0,0.871562123298645
235,11,5,4.0,0.8683040142059326
235,11,5,9.0,0.8674262166023254
235,11,7,2.0,0.8522738218307495
235,11,7,4.0,0.8491513729095459
235,11,7,13.5,0.8468806743621826
235,11,7,15.0,0.8468444347381592
235,11,11,2.0,0.8541873693466187
