,,CLASS 1 (clean images),,,,OCCLUSION 0,,,,OCCLUSION 10,,,,OCCLUSION 20,,,,OCCLUSION 30,,,,OCCLUSION 40,,,,OCCLUSION 50,,,,OCCLUSION 60,,,,OCCLUSION 70,,,,OCCLUSION 80,,,,OCCLUSION 90,,,
layer,head,patch_common_features_cls1,patch_count_cls1,cls_common_features_cls1,cls_count_cls1,patch_common_features,patch_count_,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count,patch_common_features,patch_count,cls_common_features,cls_count
0,0,"[2, 12, 15, 25, 27, 37, 45, 46]",8,"[2, 12, 25, 37, 45, 46]",6,"[2, 12, 15, 25, 27, 37, 45, 46]",8,"[2, 12, 25, 37, 45, 46]",6,"[2, 12, 15, 25, 37, 45, 46]",7,"[2, 25, 37, 45, 46]",5,"[2, 12, 25, 37, 45, 46]",6,"[2, 25, 37, 45, 46]",5,"[2, 12, 25, 37, 45, 46]",6,"[2, 25, 37, 45, 46]",5,"[2, 12, 25, 37, 45, 46]",6,"[2, 25, 37, 45, 46]",5,"[2, 25, 37, 45, 46]",5,"[2, 25, 37, 45, 46]",5,"[2, 25, 37, 45, 46]",5,"[2, 25, 37, 45, 46]",5,"[2, 25, 37, 45, 46]",5,"[2, 25, 37, 45, 46]",5,"[2, 25, 37, 45, 46]",5,"[2, 25, 37, 45, 46]",5,"[2, 25, 45, 46]",4,"[2, 25, 37, 45, 46]",5
0,1,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 31, 32, 46, 60, 61]",8,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 31, 32, 46, 60, 61]",8,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 46, 60, 61]",9
0,2,"[12, 18, 19, 55]",4,"[19, 55]",2,"[12, 18, 19, 55]",4,"[19, 55]",2,"[12, 18, 19, 55]",4,"[19, 55]",2,"[12, 18, 19, 55]",4,"[19, 55]",2,"[12, 18, 19, 55]",4,"[19, 55]",2,"[12, 18, 19, 55]",4,"[19, 55]",2,"[12, 18, 19, 55]",4,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19, 55]",3,"[19, 55]",2,"[18, 19]",2,"[19, 55]",2
0,3,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9
0,4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4,"[8, 25, 33, 46, 58]",5,"[8, 33, 46, 58]",4
0,5,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46, 62]",8,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46, 62]",8,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47, 62]",9,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47]",8,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47]",8,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47]",8,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47]",8,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47]",8,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47]",8,"[0, 2, 13, 16, 29, 40, 46]",7,"[0, 2, 13, 16, 29, 40, 46, 47]",8,"[0, 2, 13, 16, 29, 40, 46]",7
0,6,"[11, 18, 34, 43, 59, 60, 61]",7,"[11, 18, 43, 58, 59, 60, 61]",7,"[11, 18, 34, 43, 59, 60, 61]",7,"[11, 18, 43, 58, 59, 60, 61]",7,"[11, 18, 43, 59, 60, 61]",6,"[11, 18, 43, 58, 59, 60, 61]",7,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 58, 59, 60, 61]",7,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 58, 59, 60]",6,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 58, 59, 60]",6,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 58, 59, 60]",6,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 58, 59, 60]",6,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 58, 59, 60]",6,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 58, 59, 60]",6,"[11, 18, 43, 59, 60]",5,"[11, 18, 43, 58, 59, 60]",6
0,7,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10
0,8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 53, 57]",9,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 53, 57]",9,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 53, 57]",9,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 53, 57]",9,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 57]",9,"[9, 20, 30, 34, 42, 45, 49, 57]",8,"[9, 20, 30, 34, 37, 42, 45, 49, 57]",9,"[9, 20, 30, 34, 45, 49, 57]",7,"[9, 20, 30, 34, 37, 42, 45, 49, 57]",9,"[9, 20, 30, 34, 45, 49, 57]",7
