layer,head,patch_common_features_k5_s1.0_cls1,patch_count_k5_s1.0_cls1,cls_common_features_k5_s1.0_cls1,cls_count_k5_s1.0_cls1,patch_common_features_k5_s2.0_cls1,patch_count_k5_s2.0_cls1,cls_common_features_k5_s2.0_cls1,cls_count_k5_s2.0_cls1,patch_common_features_k5_s4.0_cls1,patch_count_k5_s4.0_cls1,cls_common_features_k5_s4.0_cls1,cls_count_k5_s4.0_cls1,patch_common_features_k5_s9.0_cls1,patch_count_k5_s9.0_cls1,cls_common_features_k5_s9.0_cls1,cls_count_k5_s9.0_cls1,patch_common_features_k7_s2.0_cls1,patch_count_k7_s2.0_cls1,cls_common_features_k7_s2.0_cls1,cls_count_k7_s2.0_cls1,patch_common_features_k7_s4.0_cls1,patch_count_k7_s4.0_cls1,cls_common_features_k7_s4.0_cls1,cls_count_k7_s4.0_cls1,patch_common_features_k7_s13.5_cls1,patch_count_k7_s13.5_cls1,cls_common_features_k7_s13.5_cls1,cls_count_k7_s13.5_cls1,patch_common_features_k7_s15.0_cls1,patch_count_k7_s15.0_cls1,cls_common_features_k7_s15.0_cls1,cls_count_k7_s15.0_cls1,patch_common_features_k11_s2.0_cls1,patch_count_k11_s2.0_cls1,cls_common_features_k11_s2.0_cls1,cls_count_k11_s2.0_cls1,patch_common_features_k11_s5.0_cls1,patch_count_k11_s5.0_cls1,cls_common_features_k11_s5.0_cls1,cls_count_k11_s5.0_cls1
0,0,"[12, 15, 25, 27, 45, 46, 60]",7,"[12, 15, 25, 27, 37, 45, 46, 60]",8,"[12, 15, 25, 27, 45, 46, 60]",7,"[12, 15, 25, 27, 37, 45, 46, 60]",8,"[12, 15, 25, 27, 45, 46, 60]",7,"[12, 15, 25, 27, 37, 45, 46, 60]",8,"[12, 15, 25, 27, 45, 46, 60]",7,"[12, 15, 25, 27, 45, 46, 60]",7,"[5, 12, 15, 25, 27, 45, 46, 60]",8,"[12, 15, 25, 27, 37, 45, 46, 60]",8,"[5, 12, 15, 25, 27, 45, 46, 60]",8,"[15, 25, 27, 37, 45, 46, 60]",7,"[5, 12, 15, 25, 27, 45, 46, 60]",8,"[15, 25, 27, 37, 45, 46, 60]",7,"[5, 12, 15, 25, 27, 45, 46, 60]",8,"[15, 25, 27, 37, 45, 46, 60]",7,"[5, 15, 25, 27, 45, 46, 60]",7,"[15, 25, 27, 37, 45, 46, 60]",7,"[15, 25, 27, 45, 46, 60]",6,"[15, 25, 27, 37, 45, 46, 60]",7
0,1,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10
0,2,"[3, 18, 19, 29, 46, 55]",6,"[3, 18, 19, 21, 29, 46, 55]",7,"[3, 18, 19, 21, 29, 46, 55]",7,"[3, 18, 19, 21, 29, 46, 55, 56]",8,"[3, 18, 19, 21, 29, 46, 55]",7,"[3, 18, 19, 21, 29, 46, 55, 56]",8,"[3, 18, 19, 21, 29, 46, 55]",7,"[3, 18, 19, 21, 29, 46, 55, 56]",8,"[3, 18, 19, 21, 29, 30, 46, 55]",8,"[3, 18, 19, 21, 29, 30, 46, 55, 56]",9,"[3, 18, 19, 21, 29, 30, 46, 55, 56]",9,"[3, 18, 19, 21, 29, 30, 46, 55, 56]",9,"[3, 18, 19, 21, 29, 30, 46, 55, 56]",9,"[3, 18, 19, 21, 29, 30, 46, 55, 56]",9,"[3, 18, 19, 21, 29, 30, 46, 55, 56]",9,"[3, 18, 19, 21, 29, 30, 46, 55, 56]",9,"[3, 18, 19, 21, 29, 30, 46, 55, 56]",9,"[3, 18, 19, 21, 29, 30, 46, 55, 56]",9,"[3, 18, 19, 20, 21, 29, 30, 46, 55]",9,"[3, 18, 19, 21, 29, 30, 46, 55, 56]",9
0,3,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10
0,4,"[8, 14, 22, 25, 31, 33, 46, 58]",8,"[8, 22, 31, 33, 46, 58]",6,"[8, 14, 22, 25, 31, 33, 46, 49, 58]",9,"[8, 22, 25, 31, 33, 44, 46, 58]",8,"[8, 14, 22, 25, 31, 33, 46, 49, 58]",9,"[8, 22, 31, 33, 46, 49, 58]",7,"[8, 14, 22, 25, 31, 33, 46, 49, 58]",9,"[8, 22, 31, 33, 46, 58]",6,"[8, 14, 22, 25, 31, 33, 46, 49, 58]",9,"[8, 22, 25, 31, 33, 46, 58]",7,"[8, 14, 22, 25, 31, 33, 46, 58]",8,"[8, 22, 25, 31, 33, 46, 58]",7,"[8, 14, 22, 25, 31, 33, 46, 58]",8,"[8, 22, 25, 31, 33, 46, 58]",7,"[8, 14, 22, 25, 31, 33, 46, 58]",8,"[8, 22, 25, 31, 33, 46, 58]",7,"[8, 14, 22, 25, 31, 33, 46, 58]",8,"[8, 22, 25, 31, 33, 46, 58]",7,"[8, 22, 25, 31, 33, 46, 49, 58]",8,"[8, 22, 25, 31, 33, 46, 58]",7
0,5,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 62]",10,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 62]",10,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53, 62]",11,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53, 62]",11,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53, 62]",11,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53, 62]",11,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53]",10,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53, 62]",11,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53, 62]",11,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53, 62]",11,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53, 62]",11,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53]",10,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 53]",10,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9
0,6,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 23, 30, 37, 43, 59, 60]",8,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 23, 30, 37, 43, 59, 60]",8,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 23, 30, 37, 43, 59, 60]",8,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 23, 30, 37, 43, 59, 60]",8,"[11, 18, 30, 37, 43, 59, 60]",7,"[11, 18, 23, 30, 37, 43, 59, 60]",8,"[11, 18, 30, 37, 43, 59, 60]",7
0,7,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10
0,8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 57]",9,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10
0,9,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59, 63]",11,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59, 63]",11,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59, 63]",11,"[2, 12, 16, 17, 25, 36, 39, 48, 59, 63]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59, 63]",11,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59, 63]",11,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59, 63]",11,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59, 63]",11,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 63]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59, 63]",11,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 48]",9,"[2, 12, 16, 17, 25, 36, 39, 48, 59]",9
