layer,head,patch_common_features_occ0_cls1,patch_count_occ0_cls1,cls_common_features_occ0_cls1,cls_count_occ0_cls1,patch_common_features_occ10_cls1,patch_count_occ10_cls1,cls_common_features_occ10_cls1,cls_count_occ10_cls1,patch_common_features_occ20_cls1,patch_count_occ20_cls1,cls_common_features_occ20_cls1,cls_count_occ20_cls1,patch_common_features_occ30_cls1,patch_count_occ30_cls1,cls_common_features_occ30_cls1,cls_count_occ30_cls1,patch_common_features_occ40_cls1,patch_count_occ40_cls1,cls_common_features_occ40_cls1,cls_count_occ40_cls1,patch_common_features_occ50_cls1,patch_count_occ50_cls1,cls_common_features_occ50_cls1,cls_count_occ50_cls1,patch_common_features_occ60_cls1,patch_count_occ60_cls1,cls_common_features_occ60_cls1,cls_count_occ60_cls1,patch_common_features_occ70_cls1,patch_count_occ70_cls1,cls_common_features_occ70_cls1,cls_count_occ70_cls1,patch_common_features_occ80_cls1,patch_count_occ80_cls1,cls_common_features_occ80_cls1,cls_count_occ80_cls1,patch_common_features_occ90_cls1,patch_count_occ90_cls1,cls_common_features_occ90_cls1,cls_count_occ90_cls1
0,0,"[2, 12, 25, 27, 45, 46]",6,"[2, 12, 25, 37, 45, 46]",6,"[2, 12, 25, 37, 45, 46]",6,"[2, 25, 37, 45, 46]",5,"[0, 2, 25, 27, 45, 46, 60]",7,"[0, 2, 25, 37, 45, 46, 60]",7,"[0, 2, 25, 27, 37, 45, 46, 60]",8,"[0, 2, 25, 27, 30, 37, 45, 46, 60]",9,"[0, 2, 25, 27, 37, 45, 46, 60]",8,"[0, 2, 25, 27, 30, 37, 45, 46, 60]",9,"[0, 2, 25, 30, 37, 45, 46, 60]",8,"[0, 2, 25, 26, 30, 37, 45, 46, 60]",9,"[0, 2, 25, 26, 30, 37, 45, 46, 60]",9,"[0, 2, 25, 26, 30, 37, 45, 46, 60]",9,"[0, 2, 5, 25, 26, 30, 37, 45, 46, 60]",10,"[0, 2, 5, 25, 26, 30, 37, 45, 46, 60]",10,"[0, 2, 5, 21, 25, 26, 30, 37, 45, 46, 60]",11,"[0, 2, 5, 21, 25, 26, 30, 37, 45, 46, 60]",11,"[0, 2, 5, 21, 25, 26, 30, 45, 46, 60]",10,"[0, 2, 5, 21, 25, 26, 30, 37, 45, 46, 60]",11
0,1,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 27, 29, 31, 32, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 31, 32, 44, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 31, 32, 44, 46, 60, 61]",9,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10,"[3, 10, 16, 22, 24, 26, 31, 32, 34, 61]",10,"[3, 24, 25, 29, 31, 32, 44, 46, 60, 61]",10
0,2,"[18, 19, 55]",3,"[19, 55]",2,"[19, 29, 55]",3,"[18, 19, 29, 55]",4,"[3, 18, 19, 21, 29, 30, 46, 55]",8,"[3, 18, 19, 21, 29, 30, 46, 55]",8,"[3, 18, 19, 21, 29, 46, 55]",7,"[3, 18, 19, 21, 29, 46, 55, 56]",8,"[3, 18, 19, 20, 21, 29, 30, 46, 55]",9,"[3, 18, 19, 20, 21, 29, 30, 46, 55, 56]",10,"[3, 18, 19, 20, 21, 29, 30, 46, 55]",9,"[3, 18, 19, 20, 21, 29, 30, 46, 55, 56]",10,"[3, 18, 19, 20, 21, 29, 30, 46, 55, 56]",10,"[3, 18, 19, 20, 21, 29, 30, 46, 55, 56]",10,"[3, 18, 19, 20, 21, 29, 30, 46, 55, 56]",10,"[3, 18, 19, 20, 21, 29, 30, 46, 55, 56]",10,"[3, 18, 19, 20, 21, 29, 30, 46, 55, 56]",10,"[3, 18, 19, 20, 21, 29, 30, 46, 55, 56]",10,"[3, 18, 19, 20, 21, 29, 30, 46, 55, 56]",10,"[3, 18, 19, 20, 21, 29, 30, 46, 55, 56]",10
0,3,"[6, 7, 13, 23, 40, 41, 61]",7,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 40, 41, 54, 61]",8,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[6, 7, 13, 23, 38, 40, 41, 54, 61]",9,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10,"[4, 6, 7, 13, 23, 38, 40, 41, 54, 61]",10
0,4,"[8, 33, 46, 58]",4,"[8, 33, 46, 58]",4,"[8, 33, 46, 58]",4,"[8, 33, 46, 58]",4,"[8, 33, 46, 58]",4,"[8, 33, 46, 58]",4,"[8, 9, 22, 31, 33, 46, 58]",7,"[8, 9, 22, 31, 33, 44, 46, 58]",8,"[8, 22, 31, 33, 46, 58]",6,"[8, 22, 31, 33, 46, 49, 58]",7,"[8, 22, 25, 28, 31, 33, 46, 58]",8,"[8, 25, 28, 31, 33, 46, 58]",7,"[8, 25, 28, 31, 33, 46, 58]",7,"[8, 25, 28, 31, 33, 46, 58]",7,"[8, 22, 23, 25, 28, 31, 33, 46, 58]",9,"[8, 23, 25, 28, 31, 33, 46, 58]",8,"[8, 22, 25, 28, 31, 33, 46, 58]",8,"[8, 22, 25, 28, 31, 33, 46, 58]",8,"[8, 22, 23, 25, 28, 31, 33, 46, 58]",9,"[8, 25, 28, 31, 33, 46, 58]",7
0,5,"[0, 2, 16, 29, 40, 46, 47, 62]",8,"[0, 2, 13, 16, 29, 40, 46, 62]",8,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 62]",10,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 62]",10,"[0, 2, 13, 16, 29, 39, 40, 46]",8,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47]",9,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 63]",10,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 63]",10,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 63]",10,"[0, 2, 13, 16, 29, 39, 40, 46, 47, 63]",10
0,6,"[11, 18, 34, 43, 59, 60, 61]",7,"[11, 18, 43, 58, 59, 60, 61]",7,"[11, 18, 37, 43, 59, 60, 61]",7,"[11, 18, 37, 43, 58, 59, 60, 61]",8,"[11, 18, 37, 43, 59, 60]",6,"[11, 18, 37, 43, 58, 59, 60, 61]",8,"[11, 18, 37, 43, 59, 60]",6,"[11, 18, 37, 43, 48, 58, 59, 60]",8,"[11, 18, 30, 37, 43, 48, 59, 60]",8,"[11, 18, 30, 37, 43, 48, 58, 59, 60]",9,"[11, 18, 30, 37, 43, 48, 58, 59, 60]",9,"[11, 18, 37, 43, 48, 58, 59, 60]",8,"[11, 18, 30, 37, 43, 58, 59, 60]",8,"[11, 18, 30, 37, 43, 48, 58, 59, 60]",9,"[11, 18, 30, 37, 43, 48, 58, 59, 60]",9,"[11, 18, 30, 37, 43, 48, 58, 59, 60]",9,"[11, 18, 30, 37, 43, 48, 58, 59, 60]",9,"[11, 18, 30, 37, 43, 48, 58, 59, 60]",9,"[11, 18, 30, 37, 43, 48, 58, 59, 60]",9,"[11, 18, 30, 37, 43, 48, 58, 59, 60]",9
0,7,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10,"[2, 4, 7, 12, 21, 27, 29, 37, 40, 63]",10
0,8,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 42, 45, 49, 53, 57]",9,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 57]",9,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 53, 57]",11,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[1, 9, 20, 30, 34, 37, 45, 49, 57]",9,"[1, 9, 20, 30, 34, 37, 42, 45, 49, 57]",10,"[1, 9, 20, 30, 34, 37, 45, 46, 49, 57]",10
0,9,"[2, 12, 16, 17, 36, 39, 43, 59, 63]",9,"[2, 12, 17, 36, 39, 43, 59, 63]",8,"[2, 12, 16, 17, 25, 36, 39, 43, 59, 63]",10,"[2, 12, 17, 25, 36, 39, 43, 59, 63]",9,"[2, 12, 17, 25, 36, 39, 43, 59, 63]",9,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59, 63]",11,"[2, 12, 16, 17, 25, 36, 39, 43, 59, 63]",10,"[2, 12, 16, 17, 25, 36, 39, 59, 63]",9,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 63]",10,"[2, 12, 16, 17, 25, 36, 39, 48, 59, 63]",10,"[2, 12, 16, 17, 25, 36, 39, 43, 55]",9,"[2, 12, 16, 17, 25, 36, 39, 43, 48, 59]",10,"[2, 12, 16, 17, 25, 36, 39, 55, 59]",9,"[2, 12, 16, 17, 25, 36, 39, 48, 55, 59]",10,"[2, 12, 16, 17, 25, 36, 39, 55]",8,"[2, 12, 16, 17, 25, 36, 39, 48, 55]",9,"[2, 12, 16, 17, 25, 36, 39, 42, 48, 55]",10,"[2, 12, 16, 17, 25, 36, 39, 48, 55]",9,"[2, 12, 16, 17, 25, 36, 39, 42, 48, 55, 61]",11,"[2, 12, 16, 17, 25, 36, 39, 48, 55]",9
